image,target,is_valid,is_labeled
lower-gi-tract/pathological-findings/polyps/373742ad-cffa-4413-b997-af9caf8847b8.jpg,4,False,True
upper-gi-tract/pathological-findings/esophagitis-b-d/79d3a3c5-1139-47c7-94d4-be437207cc43.jpg,11,False,True
lower-gi-tract/pathological-findings/ulcerative-colitis-grade-3/5b85ab83-0100-4fa0-8118-a566bfa2821c.jpg,1,False,True
lower-gi-tract/pathological-findings/ulcerative-colitis-grade-2/1b5d60fa-5d7b-47ee-b40f-6a6328e2b5cd.jpg,6,False,True
upper-gi-tract/pathological-findings/esophagitis-b-d/ab9be729-ee74-4d8d-8564-118f638d720d.jpg,11,False,True
lower-gi-tract/pathological-findings/ulcerative-colitis-grade-0-1/35f3d21d-def1-4bec-a96e-9a3906a3de78.jpg,2,False,True
lower-gi-tract/pathological-findings/polyps/be199670-284b-4731-9208-781ac24fdd4a.jpg,4,False,True
upper-gi-tract/pathological-findings/esophagitis-b-d/927628ae-c53c-4bfc-9601-8580330b16f8.jpg,11,False,True
lower-gi-tract/pathological-findings/polyps/9a02753d-763e-4bc2-912b-6396b9fad094.jpg,4,False,True
lower-gi-tract/pathological-findings/polyps/81d52357-a6bf-4f0e-8425-1bd8d4f6f18b.jpg,4,False,True
lower-gi-tract/pathological-findings/polyps/3da0bbb2-1889-4ecf-b491-0ea55d1cb6e3.jpg,4,False,True
upper-gi-tract/pathological-findings/esophagitis-b-d/84c46790-a66f-493d-9981-4cbf410e51db.jpg,11,False,True
lower-gi-tract/pathological-findings/polyps/edc5abe4-8f92-449a-866d-535c3066a5c4.jpg,4,False,True
lower-gi-tract/pathological-findings/polyps/15344e66-9bdb-4698-bd3e-de5de654c949.jpg,4,False,True
lower-gi-tract/pathological-findings/ulcerative-colitis-grade-2/29c39649-9f78-4309-a420-059e17a32c69.jpg,6,False,True
lower-gi-tract/pathological-findings/ulcerative-colitis-grade-3/4d0b10a3-a055-4239-b455-cca44f90998d.jpg,1,False,True
lower-gi-tract/pathological-findings/ulcerative-colitis-grade-2/d8d78423-6428-460f-b18b-c8366f1ac765.jpg,6,False,True
lower-gi-tract/pathological-findings/ulcerative-colitis-grade-2/fa3eaf25-1913-426f-b466-e47ecd72886c.jpg,6,False,True
lower-gi-tract/pathological-findings/polyps/1033b8ec-9777-4add-b023-b884df880de5.jpg,4,False,True
upper-gi-tract/pathological-findings/esophagitis-b-d/68d4e802-901d-496f-91bb-96421e0535f5.jpg,11,False,True
lower-gi-tract/pathological-findings/polyps/d533d8bf-ef8a-44fe-90bd-a7e07df68107.jpg,4,False,True
lower-gi-tract/pathological-findings/polyps/2afd6c6f-7280-4644-aa7e-dd13e1d8e98f.jpg,4,False,True
lower-gi-tract/pathological-findings/ulcerative-colitis-grade-3/bd87d0ff-e1c3-4cea-903a-104fc60c37cd.jpg,1,False,True
lower-gi-tract/pathological-findings/polyps/4e7a390c-a337-4553-86c9-69713eeb6089.jpg,4,False,True
lower-gi-tract/pathological-findings/polyps/44be479a-354c-4a0c-82f0-3d728ce44d43.jpg,4,False,True
